Station,Line,Latitude,Longitude
Mayapuri,Pink,28.6372,77.1297
Maujpur-Babarpur,Pink,28.6920,77.2796
Mandawali – West Vinod Nagar,Pink,28.6250,77.3045
Majlis Park,Pink,28.7244,77.1820
Chirag Delhi,Magenta,28.5381,77.2281
Shankar Vihar,Magenta,28.5574,77.1397
Sadar Bazaar Cantonment,Magenta,28.5772,77.1112
Dashrath Puri,Magenta,28.6019,77.0824
Dabri Mor-Janakpuri South,Magenta,28.6158,77.0852
R.K.Puram,Magenta,28.5514,77.1847
Sukhdev Vihar,Magenta,28.5597,77.2749
Okhla Bird Sanctuary,Magenta,28.5529,77.3216
Greater Kailash,Magenta,28.5419,77.2385
Kalindi Kunj,Magenta,28.5452,77.3060
Vasant Vihar,Magenta,28.5607,77.1608
Munirka,Magenta,28.5549,77.1711
Jasola Vihar Shaheen Bagh,Magenta,28.5458,77.2967
Jamia Millia Islamia,Magenta,28.5585,77.2812
Okhla NSIC,Magenta,28.5545,77.2648
Okhla Vihar,Magenta,28.5613,77.2919
Nehru Enclave,Magenta,28.5461,77.2515
Palam,Magenta,28.5919,77.0828
Panchsheel Park,Magenta,28.5434,77.2141
Qutub Minar,Yellow,28.5244,77.1855
Madipur,Green,28.6765,77.1194
Brigadier Hoshiyar Singh,Green,28.6975,76.9192
Ghevra,Green,28.6852,76.9962
Ashok Park Main,Green,28.6716,77.1553
Mundka,Green,28.6824,77.0306
Mundka Industrial Area,Green,28.6834,77.0171
Satguru Ramsingh Marg,Green,28.6619,77.1575
Paschim Vihar West,Green,28.6787,77.1022
Shivaji Park,Green,28.6750,77.1305
Rajdhani Park,Green,28.6823,77.0439
Udyog Nagar,Green,28.6811,77.0808
Nangloi Railway station,Green,28.6822,77.0562
Paschim Vihar East,Green,28.6774,77.1123
Bahadurgarh City,Green,28.6908,76.9355
Peera Garhi,Green,28.6798,77.0927
Pandit Shree Ram Sharma,Green,28.6893,76.9512
Tikri Kalan,Green,28.6869,76.9772
Tikri Border,Green,28.6880,76.9641
Nangloi,Green,28.6824,77.0647
Punjabi Bagh,Green,28.6689,77.1325
Badarpur Border,Violet,28.4905,77.3040
Tughlakabad Station,Violet,28.5024,77.2992
Bata Chowk,Violet,28.3858,77.3135
Lajpat Nagar,Violet,28.5706,77.2365
Jama Masjid,Violet,28.6500,77.2377
Khan Market,Violet,28.6001,77.2265
Kalkaji Mandir,Violet,28.5498,77.2607
Kalkaji Mandir,Magenta,28.5498,77.2607
Kailash Colony,Violet,28.5531,77.2430
Mohan Estate,Violet,28.5196,77.2946
Moolchand,Violet,28.5644,77.2343
Jawaharlal Nehru Stadium,Violet,28.5834,77.2335
Nehru Place,Violet,28.5493,77.2530
Jasola Apollo,Violet,28.5384,77.2830
Janpath,Violet,28.6089,77.2182
Jangpura,Violet,28.5825,77.2415
Delhi Gate,Violet,28.6392,77.2408
ITO,Violet,28.6305,77.2414
Central Secretariat,Violet,28.6159,77.2123
Shivaji Stadium,Airport Express,28.6315,77.2161
Delhi Aerocity,Airport Express,28.5488,77.1208
IGI Airport T3,Airport Express,28.5549,77.0847
Dhaula Kuan,Airport Express,28.5919,77.1617
New Delhi Railway Station,Airport Express,28.6436,77.2217
Nangli,Grey,28.6173,77.0104
Najafgarh,Grey,28.6123,76.9824
Dhansa Bus Stand,Grey,28.6123,76.9824
